Competency Area,Topics,Must Have,Desirable,Advanced/ Best,Remarks
,Referential integrity (foreign key consistency),Ensures data consistency between related tables.,Automates referential integrity checks during loads.,Designs frameworks to monitor and enforce referential integrity dynamically.,
,B. Schema Validation,,,,
,Data types and constraints,Validates column data types during ingestion.,Automates schema checks between producers and consumers.,Implements schema evolution management and contract enforcement at scale.,
,Schema contracts between producers and consumers,Understands need for schema consistency.,Defines schema contracts manually between teams.,Uses schema registries to enforce producer-consumer compatibility automatically.,
,Enforcing data contracts in pipelines,Manually validates data structures.,Automates contract validation via dbt or orchestration tools.,"Designs full data contract enforcement with alerts, versioning, and rollback mechanisms.",
,C. Unit Tests for Data,,,,
,dbt tests,Runs basic dbt tests for schema and value checks.,Extends dbt tests with custom assertions and thresholds.,Designs automated test suites integrated with CI/CD and lineage tracking.,
,Great Expectations basics,Uses Great Expectations for simple data validation.,"Builds expectations covering completeness, accuracy, and range checks.","Integrates Great Expectations with orchestration, lineage, and data observability stacks.",
,"Expectations/validations in orchestration tools (e.g., Airflow, Dagster)",Adds simple validations in DAG tasks.,Uses task-level checks for schema and value consistency.,Designs pipeline-level validation frameworks embedded into orchestration DAGs.,
,2. Monitoring & Observability,,,,
,A. Data Drift & Anomaly Detection,Understands the concept of data drift.,Monitors volume or range anomalies in production datasets.,Designs ML-based drift detection and anomaly alerting integrated with dashboards.,
,"Monitoring changes in distributions, ranges, and patterns",Tracks data summaries periodically.,Automates monitoring of statistical changes.,Implements dynamic anomaly detection models for continuous monitoring.,
,"Automated alerts for anomalies (volume, schema, values)",Sets up manual alerts for data anomalies.,Configures automated alerting for deviations.,Designs predictive alerting with context-aware thresholds and suppression logic.,
,B. Profiling & Summarization,,,,
,"Tools for profiling datasets (e.g., Pandas Profiling, Great Expectations, dbt source freshness)",Uses profiling tools to understand dataset characteristics.,Builds data summaries for quality assessment.,Automates profiling and integrates freshness checks into pipeline monitoring.,
,Building baseline statistics for monitoring quality,Captures descriptive statistics for datasets.,Defines thresholds for expected data behavior.,Automates baseline comparison and quality scoring across pipeline stages.,
,3. Governance & Compliance,,,,
,A. Data Quality Measurement,,,,
,"Defining and tracking data quality metrics (completeness, accuracy, timeliness, validity, consistency, uniqueness)",Defines core quality dimensions and tracks basic metrics.,Implements dashboards for data quality KPIs.,Designs enterprise DQ frameworks aligned with SLIs and SLAs for all pipelines.,
,Service-level indicators (SLIs) and SLAs for data pipelines,Understands what SLIs and SLAs represent.,Tracks SLIs for key data workflows.,Implements SLA-driven pipeline management with automated alerts and reporting.,
,B. Data Lineage & Auditability,,,,
,Capturing data lineage in orchestration tools or catalogs,Tracks data flow manually or via basic notes.,Uses built-in lineage features in orchestration tools.,Designs automated lineage capture and visualization integrated with metadata systems.,
,Audit logging for changes and access,Logs data access and modification manually.,Implements automated audit logs for key operations.,Designs full audit frameworks meeting compliance and governance standards.,
,C. Catalogs & Documentation,,,,
,"Data catalogs for discoverability (e.g., Amundsen, DataHub, Collibra)",Uses catalogs to browse datasets and metadata.,Documents datasets with ownership and usage notes.,Designs enterprise metadata catalogs integrated with lineage and quality tools.,
,Metadata management and ownership tagging,Adds metadata manually to datasets.,Tags data assets with owners and sensitivity levels.,Automates metadata management with APIs and governance policies.,
,D. Security & Privacy,,,,
,Encryption in transit and at rest,Understands basic encryption principles.,Implements encryption for sensitive data in storage and transfers.,Designs enterprise-level encryption strategies integrated with key management systems.,
,"Handling of PII and sensitive data (masking, tokenization, GDPR/CCPA compliance)",Identifies PII fields and masks them manually.,Implements masking and tokenization where required.,Designs privacy-aware architectures ensuring compliance with GDPR/CCPA through automation.,
Containerization & CI/CD for Data Pipelines,Containerization & CI/CD for Data Pipelines,,,,
,1. Version Control & Collaboration,,,,
,"Git fundamentals (commits, branching strategies, pull requests)","Understands Git basics—commits, pushes, and merges.",Uses feature branching and pull requests for collaborative workflows.,"Designs Git branching strategies (GitFlow, trunk-based) aligned with CI/CD automation.",
,Code review best practices for data teams,Participates in basic code reviews and feedback loops.,Reviews ETL and data pipeline code for quality and performance.,"Establishes peer review standards focusing on data correctness, maintainability, and governance.",
,2. Containerization,,,,
,A. Docker Basics,,,,
,Writing Dockerfiles,Writes simple Dockerfiles for Python or ETL scripts.,Configures builds with environment variables and dependencies.,"Designs optimized, parameterized Dockerfiles for multiple services and environments.",
,Building & running containers,Builds and runs local containers with Docker CLI.,Manages multi-container setups using Docker Compose.,Automates container builds and orchestrates distributed services in CI/CD.,
,Dependency packaging for reproducibility,Packages dependencies manually inside containers.,Uses requirements.txt or poetry for consistent builds.,Implements dependency pinning and caching strategies for reproducible environments.,
,Managing environment consistency across dev/staging/prod,Understands importance of consistent environments.,Uses environment variables and configuration files for multi-env setups.,Designs fully reproducible deployments with container registries and IaC integration.,
,B. Best Practices,,,,
,"Small, layered images",Knows to minimize image size for faster builds.,Uses layered builds and clean-up commands to reduce bloat.,"Designs minimal, security-hardened images with custom base layers.",
,Using .dockerignore,Adds .dockerignore to exclude unnecessary files.,Optimizes build context to improve speed.,Automates context optimization in build pipelines for large projects.,
,Multi-stage builds for efficiency,Understands concept of multi-stage Docker builds.,"Uses multi-stage builds for smaller, cleaner images.",Designs advanced multi-stage workflows integrating build caching and CI/CD artifacts.,
,3. Continuous Integration (CI),,,,
,"A. Setting up CI pipelines (GitHub Actions, GitLab CI, Jenkins)",Configures simple automated test workflows.,Builds multi-step CI pipelines for testing and linting.,"Designs scalable, environment-aware CI workflows with caching and parallelization.",
,B. Automated testing,Runs manual tests before deployment.,Integrates unit and data tests in CI workflows.,Designs automated test suites with coverage reports and failure isolation.,
,Linting & style checks,"Uses code formatters manually (e.g., black, flake8).",Automates linting in CI pipelines for consistent style.,Enforces code quality gates and metrics in automated CI checks.,
,Unit & integration tests for pipelines,Writes basic unit tests for Python ETL code.,Adds integration tests for pipeline workflows.,"Designs complete test hierarchies with mocks, fixtures, and data contracts.",
,"Data-specific tests (e.g., dbt tests, Great Expectations)",Runs dbt or Great Expectations checks manually.,Integrates data validation tests into automated CI.,Designs continuous data testing frameworks embedded in pipelines.,
,"Artifact building (Docker images, wheels, or Python packages)",Builds artifacts manually for deployment.,Automates artifact builds as part of CI workflows.,Designs artifact versioning and promotion workflows between environments.,
,4. Continuous Deployment (CD),,,,
,"Deployment pipelines for data pipelines & orchestration tools (Airflow, Prefect, Dagster)",Deploys pipelines manually to environments.,Automates deployments for orchestration tools.,Designs fully automated deployments with blue-green or rolling strategies.,
,Rollback strategies for failed deployments,Manually reverts faulty deployments.,Implements rollback triggers within CD workflows.,Designs automated rollback and versioned deployment recovery systems.,
,"Secrets management in CI/CD (Vault, AWS SSM, GCP Secret Manager)",Stores secrets in environment variables.,Uses secret managers in CI/CD securely.,Designs centralized secret governance with rotation and access auditing.,
,"Infrastructure as Code (Terraform, CloudFormation) for reproducible deployments",Understands IaC basics for reproducibility.,Uses Terraform or CloudFormation for resource provisioning.,Designs end-to-end automated infra provisioning integrated with CI/CD and policy enforcement.,
,5. Monitoring & Operations,,,,
,"Logs, metrics, and alerting for deployed pipelines",Monitors logs manually for job health.,Configures alerting for failed or slow jobs.,Designs observability-driven monitoring with SLOs and integrated dashboards.,
,Health checks for containerized services,Configures simple health endpoints in containers.,Uses health probes for container orchestration tools.,Designs automated health monitoring and self-healing systems in production.,
,"Observability integration (Prometheus, Grafana, ELK/EFK stacks)",Understands purpose of monitoring tools.,Integrates pipelines with centralized logging and dashboards.,Designs end-to-end observability stacks with alerting and trace correlation.,
Cloud Knowledge for Data Engineers,Cloud Knowledge for Data Engineers,,,,
,1. Conceptual Foundations,,,,
,A. Deployment Models,,,,
,Cloud vs On-Premise vs Traditional DBMS,Understands differences between cloud and on-premise architectures.,"Compares trade-offs of cost, scalability, and maintenance.",Designs hybrid or multi-cloud strategies balancing flexibility and compliance.,
,"Trade-offs: elasticity, maintenance, costs",Understands benefits of cloud elasticity and managed services.,Analyzes cost-performance trade-offs between deployment models.,"Designs cost-optimized, elastic architectures leveraging reserved capacity and spot instances.",
,Elasticity & Scaling,,,,
,Elastic scaling vs fixed capacity,Understands scaling fundamentals in compute systems.,Configures auto-scaling for workloads.,Designs dynamic scaling mechanisms based on predictive demand.,
,Auto-scaling basics (horizontal vs vertical scaling),Knows horizontal and vertical scaling concepts.,Implements auto-scaling rules for compute and storage.,Designs hybrid scaling systems leveraging serverless or distributed autoscaling.,
,Compute & Storage Separation,,,,
,Decoupling compute from storage (modern data lakehouse design),Understands the concept of separating compute and storage.,Uses cloud services that implement compute-storage separation.,"Designs lakehouse systems (e.g., Delta, Iceberg) leveraging decoupled compute/storage layers.",
,Pricing Models,,,,
,"Pay-per-use (serverless, storage, compute time)",Understands pricing principles of cloud services.,Estimates cost implications for workloads.,Designs optimized pricing models with automated cost monitoring.,
,"Reserved capacity & upfront licensing (VMs, clusters)",Understands reserved instance pricing.,Configures reserved or spot instances for predictable workloads.,Designs mixed compute strategies leveraging multiple pricing models efficiently.,
,Reliability & Availability,,,,
,"High availability (HA), fault tolerance, disaster recovery strategies",Understands HA and DR fundamentals.,Configures basic redundancy and backups for pipelines.,"Designs geo-redundant, automated failover systems ensuring business continuity.",
,2. Core Cloud Concepts,,,,
,Storage Types,,,,
,"Object storage vs block storage (use cases, trade-offs)",Knows difference between object and block storage.,Uses appropriate storage type for pipelines.,Designs multi-tier storage architectures optimizing cost and access.,
,"Storage lifecycle policies & tiered storage (hot, cold, archival)",Understands storage lifecycle stages.,Applies lifecycle policies for cost optimization.,Designs automated tiering strategies balancing access speed and cost.,
,Mounting cloud storage to compute workflows,Knows how to connect compute to storage buckets.,Mounts cloud storage in jobs or notebooks.,Designs scalable shared storage access for distributed jobs securely.,
,Compute Types,,,,
,"Serverless computing basics (AWS Lambda, GCP Cloud Functions, Azure Functions)",Understands event-driven serverless computing.,Implements small ETL or automation tasks with serverless functions.,"Designs serverless workflows for scalable, cost-efficient data processing.",
,"VM-based compute (EC2, GCE, Azure VMs)",Understands basic VM provisioning.,Configures VM resources for workloads.,"Designs autoscaled, fault-tolerant compute clusters for data pipelines.",
,"Managed services (Databricks, BigQuery, Redshift, Snowflake basics)",Knows popular managed data services and their purpose.,Uses one managed service for analytics workloads.,"Designs multi-service cloud ecosystems combining compute, storage, and orchestration.",
,Identity & Security,,,,
,Identity & Access Management (IAM) principles,Understands IAM and role-based access.,Configures roles and permissions for users or services.,Designs least-privilege access systems integrated with org-wide policies.,
,"Roles, policies, least privilege access",Applies roles manually to control access.,Designs custom IAM roles and policies.,Automates policy enforcement and periodic audits for compliance.,
,Secrets & key management,Understands storing secrets securely.,Uses cloud KMS or secret managers.,Designs enterprise key rotation and encrypted data-at-rest/in-transit policies.,
,3. Cloud Platforms,,,,
,Major Providers,,,,
,AWS / GCP / Azure — conceptual overview - AWS preferred (cloud practitioner),Understands basic cloud platform differences.,Gains hands-on experience with one provider.,Designs cloud-agnostic architectures using managed services across clouds.,
,Hands-On Skills (at least one provider),,,,
,"Storage services: S3, GCS, Azure Blob Storage",Uses object storage for file ingestion and backup.,Configures bucket lifecycle and access controls.,"Designs multi-region, policy-enforced storage architectures.",
,"Compute services: EC2, GCE, Azure VMs; Lambda / Functions",Launches basic compute instances or functions.,Automates compute provisioning via IaC tools.,"Designs scalable, event-driven compute clusters for hybrid data workloads.",
,"Networking basics (VPC, subnets, firewalls, endpoints)",Understands basic networking and connectivity.,Configures secure VPCs and endpoints for data pipelines.,"Designs secure, private network topologies integrating multiple cloud services.",
,"Managed data services (RDS, BigQuery, Redshift, Synapse)",Understands purpose of managed data warehouses.,Uses managed data services for analytical queries.,"Designs production-grade cloud data architectures combining warehouses, lakes, and orchestration tools.",
Gen AI and AI Agents for Data Pipelines,Gen AI and AI Agents for Data Pipelines,,,,
,A. Machine Learning & GenAI Foundations,,,,
,"Understands supervised and unsupervised learning basics (regression, classification, clustering).",Grasps core ML types and when to apply each.,Builds simple models using scikit-learn or similar libraries.,Designs end-to-end ML workflows integrated into data pipelines.,
,Applies feature selection and engineering for downstream ML tasks.,Performs manual feature cleaning and transformation.,Uses automated feature selection or encoding techniques.,"Designs scalable, reusable feature engineering modules across pipelines.",
,"Familiar with evaluation metrics (accuracy, precision, recall, F1, etc.) for model validation.",Understands key performance metrics for ML models.,Applies appropriate metrics per use case (classification vs regression).,Designs model evaluation frameworks with automated metric tracking and alerts.,
,"Deploys simple models via APIs (FastAPI, BentoML) for serving.",Deploys models manually as local services.,Serves models with versioned APIs and simple monitoring.,Designs scalable model-serving pipelines integrated with orchestration and CI/CD.,
,B. GenAI & AI Agents in Data Pipelines,,,,
,"Uses LLMs for SQL generation, code completion, and metadata search (via RAG).",Prompts LLMs for basic SQL and code generation.,Integrates LLM tools into ETL and metadata workflows.,Designs AI-assisted data platforms with contextual metadata and retrieval-based generation.,
,"Integrates vector databases (FAISS, Pinecone, etc.) with LLMs for semantic/embedding search.",Understands purpose of vector databases.,Builds prototypes combining embeddings with search queries.,Designs RAG-based semantic pipelines for enterprise data discovery and governance.,
,Implements auto-documentation of pipelines using AI-based tooling.,Uses AI tools to summarize data assets or pipelines.,Automates ETL documentation generation.,Designs self-documenting pipelines that maintain metadata via AI agents.,
,Embeds LLM-powered anomaly detection and monitoring in data workflows.,Uses AI for basic pattern detection or anomaly flagging.,Integrates LLM or ML models to monitor data quality in real time.,"Designs autonomous AI agents that detect, diagnose, and remediate data issues proactively.",
,C. GenAI / LLM Applications,,,,
,"Implements LLM-based tools and APIs (OpenAI, Anthropic, Hugging Face, Azure OpenAI).",Uses pre-built LLM APIs for basic text tasks.,Integrates LLM APIs into data or analytics pipelines.,Designs custom LLM integrations with secure prompt handling and governance.,
,"Applies prompt engineering and tuning for ETL, reporting, and analysis use cases.",Crafts simple prompts for data queries and summaries.,Tunes prompts to improve accuracy and relevance.,Designs prompt optimization frameworks for consistent LLM output across teams.,
,"Evaluates prompts, scales use cases, and adapts LLM outputs to business/data engineering workflows.",Tests prompts manually for specific tasks.,Tracks prompt performance and cost metrics.,Designs evaluated and governed LLM pipelines with feedback loops for continuous improvement.,
,Understands and applies retrieval-augmented generation (RAG) to improve data and knowledge accessibility.,Understands RAG concept and how it combines retrieval and generation.,Builds simple RAG flows for document search and summary.,Designs enterprise-level RAG systems integrating vector search and LLM orchestration.,
Visualization / Reporting,"Visualization, Reporting & Analysis",,,,
,A. Data Analysis,,,,
,"Performs exploratory and diagnostic analysis using Jupyter Notebook, Google Colab.",Performs basic EDA and visualization of datasets.,Builds structured analyses with clear narratives and reproducible code.,"Designs automated, parameterized notebooks for production-grade analysis pipelines.",
,"Uses pandas and NumPy for slicing, aggregating, joining, and transforming datasets.",Manipulates data efficiently with pandas and NumPy.,"Combines advanced joins, grouping, and window operations.",Optimizes data processing using vectorization and parallel processing techniques.,
,Builds reproducible workflows for ad hoc reporting and stakeholder requests.,Creates ad hoc reports from data extracts.,Structures reusable templates and scripts for recurring requests.,Designs automated reporting systems with versioning and parameterization.,
,Supports data validation and quality checks through analysis.,Manually checks data consistency and sanity.,Embeds validation logic into analytical scripts.,Designs analytical validation frameworks integrated with data quality tools.,
,B. Visualization & Reporting,,,,
,"Designs and develops dashboards and reports in BI tools (Power BI, Looker, Tableau).",Creates interactive dashboards for core metrics.,Builds multi-source dashboards with data transformations.,Designs enterprise-grade BI solutions with governance and performance monitoring.,
,"Connects BI tools to data sources (PostgreSQL, APIs, TimeXtender, etc.).",Connects dashboards to SQL databases or CSV files.,Integrates multiple live data sources into reports.,Designs data models and semantic layers for self-service BI connectivity.,
,"Defines metrics, KPIs, and semantic models for consistent reporting.",Understands core metric definitions.,Creates centralized KPI definitions across teams.,Designs semantic data models ensuring cross-dashboard metric consistency.,
,"Implements drill-downs, filters, and UX considerations for user-friendly analytics.",Adds basic interactivity to dashboards.,Designs intuitive layouts and user flows.,Creates advanced UX-optimized dashboards with role-based views and custom visuals.,
,Writes performant SQL queries to support dashboards and reports.,Writes basic queries for dashboard data sources.,Optimizes queries with joins and aggregations for performance.,Designs query layers and caching strategies for sub-second dashboard performance.,
,Builds custom visualizations and enables embedded analytics where needed.,Uses built-in visuals in BI tools.,"Customizes charts with Python, JavaScript, or DAX.",Designs embedded analytics solutions integrated with applications and APIs.,
,"Implements DAX functions, measures, and calculated columns in Power BI, manages permissions and access controls.",Uses basic DAX expressions for calculations.,Creates complex DAX measures and role-based permissions.,Designs governed semantic models with row-level security and optimized DAX performance.,
,Troubleshoots and optimizes dashboard performance for responsiveness and scalability.,Diagnoses slow dashboards manually.,Uses query profiling and visualization performance tools.,Designs optimized BI architectures supporting large-scale real-time analytics.,
